drug_name	ID
ZINC3830447	12810432
AG 14361	9840076
Androstenol	101989
Coladonin	7067264
MLS003130329	44488170
CHEMBL2139823	44495386
Dropropizine	3169
CHEMBL1165368	9926048
Doxofylline	50942
BRD-K27239120-001-01-1	49843318
KSC-16-144	46829332
10-DEBC	10521421
Triptolide	107985
citiolone	14520
CDK4 Inhibitor III	481747
Gliclazide	3475
Methylergonovine	8226
(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate	5702274
KUC103903N	44601475
Tranilast	5282230
Cytosporone B	10687292
MLS002473459	41724711
MLS003128760	44503697
CHEMBL2356076	44507975
HMS2093P09	11773081
SCHEMBL17783975	60187274
Alvocidib	5287969
KUC105999N	45436131
Pasireotide (ditrifluoroacetate)	78358323
BMN 673	135565082
ALDA 1	831629
ST001903	674282
CHEMBL2357757	54618919
CHEMBL2357204	54658042
Thonzonium	5456
Pimozide	16362
Licochalcone A	5318998
Lincomycin	3000540
916985-21-2	25190912
Inolitazone (dihydrochloride)	16719220
MLS003130320	44483821
CEP-37440	71721648
Tyrphostin AG 527	5328772
Buparlisib	16654980
Nortriptyline	4543
Flucloxacillin	21319
CCG-208038	12791166
Imatinib	5291
CHEMBL3182990	46947847
CHEMBL2426181	49852226
BRD-K92923799-001-01-0	73707465
Nalbuphine	5311304
SMR000074300	1502520
ST50764508	1955478
N-Benzyl-1-(3-chlorobenzyl)-n-methylpiperidine-3-carboxamide	3500831
Osimertinib	71496458
Phorbol 12-myristate-13-acetate	4792
Fluphenazine	3372
CHEMBL2057941	49853292
CHEMBL2057940	46925865
AT 7867	11175137
[Met5]-ENKEPHALIN	443363
CAM-9-026	49849931
ST50851843	2211279
CAM-9-021	49843020
2-(2-Aminoethyl)phenol	74865
Nitrazepam	4506
MLS001221673	3162043
Herniarin	10748
Troxipide	5597
K114	44828481
Dinaciclib	46926350
Pidotimod	65944
Erlotinib	176870
CHEMBL1888222	50897790
BRD-K12837223-001-01-5	44494623
CHEMBL3181961	44488175
Skatole	6736
N-(2,3-Dimethylphenyl)bicyclo[2.2.1]heptane-2-carboxamide	3843095
Estrone	5870
Clocortolone Pivalate	5282493
BRD-K29064493-001-01-0	73707575
SCHEMBL15422156	72947407
SCHEMBL15422158	73707393
MLS000062185	135412054
SPOX1_000836	6729775
SCHEMBL10061624	44507363
Oleanolic Acid Acetate	6708573
ABT737	11228183
Penfluridol	33630
MR-16728	378811
CHEMBL2361659	54649995
CHEMBL1887751	46925881
SMR000206938	4381126
SMR000206939	4381127
SMR000206936	4380267
ALD1-H_001208	25042413
Mpep	3025961
Naproxen	156391
KUC104236N	20854254
MLS-0437151.0001	23612543
TL_HRAS26	49766530
TL_HRAS27	49766549
TL_HRAS24	49766518
FTI276	395754
Nepafenac	151075
CHEMBL1474834	44223970
MLS005000107	71729870
PD-173074	1401
CHEMBL2048846	25067404
GSK J4	71729975
Eplerenone	443872
Sulfinpyrazone	5342
Nicorandil	47528
ST078797	1300352
KBIO3_000694	6708643
Palonosetron	6337614
3-PPP	55445
CHEMBL105897	557589
Pindolol	4828
133040-77-4	4355450
MLS000107144	2850171
Sirtinol	2827646
Ganciclovir	135398740
MLS003129377	44505136
Apazone	26098
Hbdde	3568
Etodolac	3308
NSC 663284	379077
CHEMBL3183340	44498235
VU0413807-2	45115620
CHEMBL607856	25067484
CHEMBL3186197	71760892
BRD-K14614387-001-01-8	44493156
KO143	10322450
CHEMBL349641	52780
ZINC21991644	29926609
benzathine	8793
Efavirenz	64139
Rebamipide	5042
Dizocilpine	180081
SMR001317788	25243775
CHEMBL2158272	7217947
CHEMBL3186447	44620262
CHEMBL1434137	24868309
COT Inhibitor-2	44143370
CHEMBL2362745	44498675
TRAVOPROST	5282226
C29H35NO2	18649237
IOX1	459617
IOX2	54685215
CGP55845	5311042
MEGXP0_001658	23786279
UNII-MET7ZRB8Y7	9957280
WYE 125132	25260757
Skimmianine	6760
Vigabatrin	5665
Digitoxin	441207
CHEMBL2354516	44620779
Sulfaquinoxaline	5338
ST50426557	854343
MLS002474333	44202980
282089-49-0	9867770
BRD-K78544941-001-01-9	54615054
MLS001060813	24747217
MLS001060816	13564432
MLS001060818	16114799
CP-724714	9874913
Isocarboxazid	3759
CHEMBL2133950	44493338
SCHEMBL17487108	44488700
BRD-K83860226-019-01-0	60184955
SCHEMBL17487101	44488693
Pentamidine	4735
CHEMBL2333339	71574948
Ethyl 2-amino-1-cyclohexyl-1H-pyrrolo[2,3-b]quinoxaline-3-carboxylate	699552
VU0447127-2	4296446
CHEMDIV3_001301	4220279
Hexetidine	3607
SCHEMBL2704865	25118059
MLS000041932	665449
SR-02000000477	46846333
Zileuton	60490
Isotretinoin	5282379
MLS-0226099.0001	2308203
AG490	5328779
Bapta-AM	2293
YM-298198	9819432
LY 303511	3971
BAY 36-7620	9903757
Oxyphenonium	5749
4-Methylhistamine	37463
PF-04447943	135564558
Skiii	753704
Amiodarone	2157
BRD-K75128590-001-01-8	44492456
NCGC00346967-01	73265211
CHEMBL2143628	54631469
CHEMBL2360848	44495045
Isoxsuprine	3783
PCO-400	129348
Isoquercetin	5280804
Pirinixic acid	5694
Selumetinib	10127622
BRD-K40956802-001-01-8	44497649
Mesulergine	68848
Guanethidine	3518
Dantrolene-13C3	46780561
RG2833 (RGFP109)	56654642
CHEMBL1905358	44499857
N-Ethylmaleimide	4362
5-[(Pyridin-2-ylamino)methyl]quinolin-8-ol	965010
Bemegride	2310
MLS-0437136.0001	1434960
Levetiracetam	5284583
CHEMBL2137336	44502032
