Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
TAGITININ A	181254.0	PPARG	GuideToPharmacologyInteractions	TAGITININ A	TAGITININ A	Other	EXPERIMENTAL	-	-		PPARG
EGLUMEGAD	213056.0	GRM2|GRM6|GRM3|GRM8	GuideToPharmacologyInteractions	EGLUMEGAD	EGLUMEGAD	Other	CLINICAL_TRIALS	-	-	GRM3	GRM2|GRM6|GRM8
MEN 10376	124003.0	TACR2	GuideToPharmacologyInteractions	MEN 10376	MEN 10376	Other	EXPERIMENTAL	-	-		TACR2
SC 22716	10333202.0	LTA4H	GuideToPharmacologyInteractions	SC-22716	SC 22716	Other	EXPERIMENTAL	-	-		LTA4H
19608-29-8	11750009.0	AR	TdgClinicalTrial	CB-03-01	19608-29-8	Other	CLINICAL_TRIALS	-	CANCER		AR
4-METHANESULFONYL-BENZAMIDINE	199994.0	PRSS1	DrugBank	4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE	4-METHANESULFONYL-BENZAMIDINE	Other	EXPERIMENTAL	-	-	PRSS1	
UDP-GLUCOSE	8629.0	GALE|GPR17|GYG1|P2RY14|GLT6D1	DrugBank	URIDINE DIPHOSPHATE GLUCOSE	UDP-GLUCOSE	Other	EXPERIMENTAL	-	-	GALE|GYG1|GLT6D1	GPR17|P2RY14
3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE	4477132.0	CDK2	DrugBank	3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE	3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE	Other	EXPERIMENTAL	-	-	CDK2	
NAPHTHALENE-2-SULFONIC ACID	8420.0	PRSS1|F2	DrugBank	2-NAPHTHALENESULFONIC ACID	NAPHTHALENE-2-SULFONIC ACID	Other	EXPERIMENTAL	-	-	PRSS1|F2	
THIAMYLAL SODIUM	23677058.0	GABRD|GABRG1|GABRA2|GABRA4|GABRB1|GABRB2|GABRA6|GABRA1|GABRG2|GABRP|GABRB3|GABRA5|GABRG3|GABRE|GABRA3|GABRQ	ChemblInteractions	THIAMYLAL SODIUM	THIAMYLAL SODIUM	Cys-loop superfamily_Agonist(KEGG)	WITHDRAWN	-	-		GABRD|GABRG1|GABRA2|GABRA4|GABRB1|GABRB2|GABRA6|GABRA1|GABRG2|GABRP|GABRB3|GABRA5|GABRG3|GABRE|GABRA3|GABRQ
