drug_name	ID
AZD3463	56599293
OXYPHENCYCLIMINE	4642
2'-MECCPA	122173097
7-HYDROXYSTAUROSPORINE	72271
PFK-015	25142799
FK-866	6914657
LORAZEPAM	3958
4-IODO-6-PHENYLPYRIMIDINE	817368
TROLOX	40634
PYRIMETHAMINE	4993
ACETYLCYSTEINE	12035
AZD2014	25262792
NILUTAMIDE	4493
ORNITHINE	6262
TEDIZOLID	11234049
THIOPROPERAZINE	9429
AZ-628	11676786
BENZOCAINE	2337
SIB-1757	5218788
RU-58841	132981
EMD-53998	187079
ALOGLIPTIN	11450633
BMS-690514	11349170
TERIFLUNOMIDE	54684141
CLOTRIMAZOLE	2812
KU-0063794	16736978
BETA-NAPHTHOL	8663
CYT-997	11351021
MAXACALCITOL	6398761
Y-27632	448042
TRANILAST	5282230
NIZOFENONE	4514
BUTHIONINE-SULFOXIMINE	21157
PHENYLBUTAZONE	4781
GIVINOSTAT	9804992
SB-242235	9863367
MEPIVACAINE	4062
ARIPIPRAZOLE	60795
TRYPTANTHRIN	73549
CINROMIDE	688145
MRS-1220	393595
SULFANILAMIDE	5333
SULMAZOLE	5353
ERASTIN	11214940
PF-03814735	51346455
NADIDE	5892
BREQUINAR	57030
CYPROTERONE-ACETATE	9880
RIBITOL	6912
AT7867	11175137
CYTARABINE	6253
LANOCONAZOLE	3002820
TELOTRISTAT-ETHYL	25181577
PLX-4720	24180719
METHOCARBAMOL	4107
CAFFEIC-ACID	689043
FINAFLOXACIN	11567473
ISTRADEFYLLINE	5311037
MIDODRINE	4195
TIPIRACIL	6323266
TILETAMINE	26533
CUDC-101	24756910
ELESCLOMOL	300471
MYCOPHENOLIC-ACID	446541
INGENOL-MEBUTATE	6918670
SUNITINIB	5329102
CISPLATIN	5702198
CHLORPYRIFOS	2730
NICORANDIL	47528
NMS-1286937	49792852
PROPOXYCAINE	6843
ATIPAMEZOLE	71310
AFATINIB	10184653
CLOBUTINOL	26937
BETA-LAPACHONE	3885
DICHLORVOS	3039
AZILSARTAN	135415867
METOPROLOL	4171
TRIAPINE	9571836
KENPAULLONE	3820
BENZYLDIMETHYLHEXADECYLAMMONIUM	31203
TIRAPAZAMINE	135413511
DEFERASIROX	214348
PRIMAQUINE	4908
PD-173074	1401
FENDILINE	3336
MGCD-265	24901704
ROCILETINIB	57335384
DEMECARIUM	5966
CYCLOVALONE	1550234
TOREMIFENE	3005573
ERDAFITINIB	67462786
CALCITRIOL	5280453
MIBAMPATOR	9889366
GSK2126458	25167777
BUPHENINE	4567
DICHLOROACETATE	25975
CHLOROXINE	2722
JTC-801	5311339
