Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
TAGITININ A,8.36732665735218e-05,5.82637134818556e-05,8.22663094977435e-05,8.521913662917646e-05,6.835330957821551e-05,7.182395699750959e-05,7.227739503337949e-05,7.814816696703704e-05,6.231428098586397e-05,5.5643927313799596e-05,8.157519531352426e-05,7.581763496721043e-05,5.156695580005374e-05,5.4506971894083085e-05,7.438780948002765e-05,4.848887235851776e-05,7.306075380502473e-05
EGLUMEGAD,4.522345380807187e-05,4.527586762788829e-05,4.600463366707099e-05,4.328137300071203e-05,4.798965755300718e-05,4.697818955056948e-05,4.640752366946951e-05,4.374467443365585e-05,4.63092470789936e-05,4.5165803836990906e-05,4.165786085529944e-05,4.4654992010933694e-05,4.1856169895993636e-05,4.326792155895663e-05,4.299912566087912e-05,4.514274372799337e-05,4.3325989121998265e-05
MEN 10376,4.7481633934007124e-05,4.346949176983664e-05,4.5464801298181925e-05,4.215203301360611e-05,4.218813947572434e-05,5.6122320615934e-05,4.671981204696914e-05,4.1219417624802e-05,5.478113371392047e-05,4.137840583921641e-05,4.1438783771807254e-05,5.371494076033389e-05,5.323638425034813e-05,5.470477722979582e-05,4.216397789329196e-05,4.758012715197783e-05,4.202585550888981e-05
SC 22716,6.095954980832284e-05,6.886004238150087e-05,6.607134014481489e-05,6.122948127776167e-05,8.233856657937123e-05,6.0180361537263245e-05,7.879020658184473e-05,6.148115364144325e-05,7.109493945608048e-05,6.505722184522445e-05,6.107232084997795e-05,7.683095500635844e-05,6.148243442345669e-05,6.475455185541374e-05,6.594067944529126e-05,6.853289384120549e-05,6.171937497155e-05
19608-29-8,3.307779836243115e-05,3.774763952122881e-05,3.579168515149045e-05,3.86429945877214e-05,2.9748328103364214e-05,2.9221089958784888e-05,2.9434903277332783e-05,2.864768611948333e-05,2.9798452471162048e-05,3.833693030170545e-05,3.826229903730014e-05,2.9151196278494342e-05,2.981844606476999e-05,3.751704125940333e-05,5.4858944869009364e-05,3.877405152034679e-05,4.9161989077276785e-05
4-METHANESULFONYL-BENZAMIDINE,5.4692566415424625e-05,5.5542075433088295e-05,7.080208392928205e-05,8.689637179265805e-05,7.151326915136861e-05,8.959082362625906e-05,6.671732862380844e-05,6.201000173319766e-05,5.606284272488274e-05,6.267134793049321e-05,7.468151387412721e-05,5.081174420021223e-05,8.278606801767177e-05,6.710162200895925e-05,7.389993631265212e-05,5.92310764647015e-05,6.204826410048687e-05
UDP-GLUCOSE,4.7367573167609345e-05,4.500306150002006e-05,4.3231399836977736e-05,4.4100646240626395e-05,4.935458967341407e-05,4.2054017533441205e-05,4.3946616174373205e-05,4.669092747923317e-05,5.114579837791405e-05,4.7199964744317135e-05,4.2184222750296474e-05,4.345834410256933e-05,4.615310526602643e-05,4.918798628136375e-05,5.172678082166572e-05,4.442244016908512e-05,4.483883253447394e-05
"3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE",5.453262682832666e-05,4.211864125920587e-05,3.615921414088571e-05,3.698354118439818e-05,7.762058490648213e-05,3.187479011259146e-05,4.8547776372969285e-05,3.3097438368936154e-05,3.5574238555437315e-05,4.4106191073815726e-05,4.90246220824256e-05,4.718769644384392e-05,4.231650982068145e-05,5.701433260084463e-05,5.758569300079755e-05,4.958480286944384e-05,3.3051177192514106e-05
NAPHTHALENE-2-SULFONIC ACID,4.919295542512362e-05,4.9145320180882185e-05,6.073785784192542e-05,6.8268203270874e-05,5.843510816822705e-05,7.001774034085828e-05,5.856854889775126e-05,6.0316174119682305e-05,5.188185408048444e-05,5.343363531189204e-05,7.142493030247552e-05,4.8597164288661345e-05,6.575863036490177e-05,5.842640396448226e-05,6.184514112255402e-05,5.3881721816929735e-05,5.2700902889505e-05
THIAMYLAL SODIUM,3.915581236015251e-05,3.993957482705259e-05,3.87482063601434e-05,4.1048404458385624e-05,4.3314217713764455e-05,0.0022163766458680335,4.069258878156134e-05,4.305414446264066e-05,4.021921492815372e-05,4.1556093257382577e-05,4.2742636808536463e-05,4.05739756307402e-05,3.844015963338969e-05,4.0737796409610324e-05,4.535748299991538e-05,3.936390655965635e-05,4.2588990558535756e-05
