Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
IRINOTECAN,6.914267271847867e-22,4.42961041888451e-32,5.877852141407465e-25,3.555429701342264e-22,1.8606443957293104e-11,1.1606478231250761e-32,9.923779546312192e-40,1.620719806650241e-05,1.243493789647567e-30,3.5636585563508874e-25,3.3269169245261503e-16,1.3572734466571534e-13,1.783878109295293e-26,2.271981652135461e-06,4.532702595630718e-24,1.191423421868788e-111,3.209923051776659e-08,1.7847721479192136e-34,1.170805131534745e-15,6.509773416686183e-83
TRX518,0.876277067215454,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9105633707488561,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
HUMAB OX40L,0.876277067215454,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.889272218857963,0.8518232491058374,0.866790498319384
ANTI-OXLDL,0.876277067215454,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.889272218857963,0.8518232491058374,0.866790498319384
ETHANOL,0.1050715559041487,0.8767875396413598,0.008372590761884962,0.874593053776576,0.9030642898639174,0.0004919143236583577,0.0021706965599396647,0.0902873887712387,0.8681791586719287,0.8724579562436898,0.026499406413673026,1.5675400762180607e-06,1.5378617201254945e-06,0.007116339790428094,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.04733177751007428,0.866790498319384
TRIAMTERENE,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9708481106688363,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8780230245681131,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8798227905145192,0.8989588867507098,0.8806205381788367,0.9367717308819505,0.8292310695158156,0.866790498319384
AMILORIDE,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.909512007307051,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.873325325768134,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.9128239422648642,0.8835855664324834,0.8806205381788367,0.9190233485502525,0.8292310695158156,0.866790498319384
602306-29-6,6.543828508128887e-07,3.685998777543097e-10,1.8639379533164257e-06,1.6740021186348214e-07,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,2.306103534587764e-12,0.8829488467678296,2.402645744217283e-09,5.073700922529126e-07,0.8559557418681538,2.740162641550527e-18,0.015535458344731246,1.6889749195459654e-11,1.3544446360456434e-18,0.005817242567569417,0.0
PHA-793887,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.2013835304273761,9.37614418017102e-06,0.8718226199237588,0.8292310695158156,0.5717198937267065
RONICICLIB,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.2013835304273761,9.37614418017102e-06,0.8718226199237588,0.8292310695158156,0.5717198937267065
AT7519,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.2013835304273761,9.37614418017102e-06,0.8718226199237588,0.8292310695158156,0.5717198937267065
