Type,spearman-pval,spearmanr
BLCA,3.1802742207380475e-22,0.37916992838741753
BRCA,1.5528549299009093e-16,0.33030322537729845
COADREAD,6.230932918463425e-26,0.4100171049850988
ESCA,1.1332374197047359e-20,0.36510873707060554
GBM,9.933548654083939e-14,0.2963423525393075
HNSC,3.777220114348794e-25,0.4033290653699606
KIRC,6.909687579516594e-16,0.3335338796170335
LGG,2.1492671088255899e-10,0.2607960090585933
LIHC,5.123457335240528e-23,0.3864196900114685
LUAD,2.622474281030298e-18,0.3464731635708071
LUSC,5.034827185746441e-20,0.3643554581711082
PRAD,5.119379044814612e-17,0.3456307734163965
SKCM,1.0327107582812143e-15,0.31856452857591716
STAD,6.547901240974036e-21,0.3689172071303739
UCEC,4.737880779557629e-21,0.36987501412353485
