Drug,COADREAD,LUSC,HNSC,STAD,KIRC,UCEC,BRCA,LIHC,CESC,LUAD,ESCA,PRAD,GBM,SKCM,BLCA,LGG,UCS
TAGITININ A,0.00022465247351265852,1.734250711223784e-05,5.9712302406043295e-05,6.37197472229322e-07,0.00021269716800144828,0.14473001990224027,0.0088823596365717,0.058842740137011657,4.61542355341799e-07,0.00032618929660490844,0.003358671247386738,0.15125980110540077,0.0038784516668723583,0.16815759379052503,1.0387593956166405e-08,0.004956261494851971,0.0011122036117900019
EGLUMEGAD,0.8409736546343036,0.5412939357773212,0.6677533408535763,0.9111061286768805,0.8100738092123869,0.5499733421250441,0.7951819136996614,0.8118545169165656,0.6895254575596456,0.8739550090967677,0.5869842707968351,0.9022259624562299,0.6331219795778137,0.8560666004760132,0.7805750198915659,0.7083985846452568,0.8327199874361648
MEN 10376,0.7686604797667651,0.3173219244602209,0.5847921559063655,0.8191480921695469,0.7354996342355091,0.5422478624976192,0.7412858443839975,0.8157828129211323,0.6353300178520143,0.7612761132138408,0.7784324124159441,0.34425896754269436,0.3146882835208345,0.27482577134768094,0.5698625524333878,0.2700954560773491,0.6953264875051558
SC 22716,0.8103333689965799,0.5225601013494929,0.49820561765092625,0.7506740362375404,0.7741885101425202,0.7612535550396182,0.758864796440381,0.8078406603161534,0.7669641409599903,0.7812683439051133,0.30310601735255044,0.8090195268078337,0.8472598993144775,0.7755907070635686,0.8562577189434242,0.6020240333416973,0.802152906903298
19608-29-8,0.5586495621208809,0.8236079843741382,0.8496220354974942,0.5272680896246408,0.8074700718435466,0.5385834186571293,0.5399338243151358,0.5295305228548506,0.6564482772773239,0.5135533523478533,0.8196065901977581,0.7830960858081341,0.7965520700261063,0.5466055280755201,0.754045317638443,0.8144382702296988,0.5290083258322148
4-METHANESULFONYL-BENZAMIDINE,0.01645469252289011,0.7531523866893757,0.36629242792739974,0.15300623250448825,0.4591440228428781,0.5859946955674895,0.6560440981157633,0.4312152134012466,0.3031454047709201,0.16498762091666463,0.2635610802535665,0.1431198982044965,0.030198361868250326,0.2965618452516584,0.5453951766331073,0.6517386233981393,0.47565242134430713
UDP-GLUCOSE,0.5301056457928391,0.5421413239480896,0.559798607280014,0.10740726289201707,0.43204810249295267,0.5411350144462095,0.5145774009679736,0.5278968869671501,0.6331939403020809,0.6661011901800444,0.2740330721257896,0.5325414342166911,0.5525302920901847,0.5269679557691538,0.2898127201380051,0.5236546749247667,0.5494103285729819
"3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE",0.5590031368597584,0.4033616957175832,0.3545516253324008,0.5334452593295721,0.7468736426697768,0.2860722154087775,0.4950818586839659,0.5047479766068472,0.5472073378611324,0.43193809684165274,0.5301198447853505,0.5284202808738293,0.7699229509364429,0.5412582574136242,0.18554019916885633,0.6739828397807036,0.737014332041964
NAPHTHALENE-2-SULFONIC ACID,0.04695366883789657,0.7516024893288071,0.41196301752875336,0.19636543404707846,0.3342797916101067,0.6003391805582861,0.7360762200721189,0.5869517270322114,0.3046561548521636,0.05259422127056517,0.4046167394736172,0.19780880984836063,0.07361850356070279,0.347049556310815,0.5510994377913699,0.6551280168019363,0.590388782407123
THIAMYLAL SODIUM,0.5651321655543567,0.5488116527420215,0.5551482392005216,0.5577842252117365,0.7331920650618934,0.6139090060605603,0.570400411765916,0.5642765071255493,0.5576511166253175,0.546011155346326,0.7821082962105832,0.5741131466936731,7.427680563819052e-45,0.5643232759407142,0.5881066344734353,0.5709079243340122,0.5499526229879212
