Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
IRINOTECAN,1.535828276431446e-05,1.0535686917177128e-07,1.6107841942889426e-09,1.1751417850888327e-05,0.0011882054996859444,1.2105772950329034e-11,6.946590494033041e-11,0.0416320037467246,1.544521556974763e-05,0.003290264704139359,6.206284561308011e-07,8.73470105108104e-05,1.3970696885814434e-10,0.007942810816595057,3.107242029690008e-10,8.6810764754812e-06,0.0003275886992221885,2.728620754058207e-06,1.948061852669006e-05,1.2826779696889545e-05
TRX518,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
HUMAB OX40L,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7227314151076832,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ANTI-OXLDL,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7227314151076832,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ETHANOL,0.4933979038676228,0.7628624977088094,0.09879391943235774,0.7316619424867631,0.6884836266102826,0.0016573546242130757,0.0013199086785406864,0.4204037565923517,0.7186186385742863,0.744715213543653,0.006905987023785581,0.011149687501828742,0.011716546877941207,0.15452873457990207,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.5210547591261018,0.7397126246788673
TRIAMTERENE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7436751845579442,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7474238811392665,0.7331003559790024,0.7322375966862833,0.726459332904291,0.7602683624603886,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7525145938234049
AMILORIDE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7509171934256734,0.7043096474587744,0.7750438812346211,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7650928305387774,0.7331003559790024,0.7322375966862833,0.726459332904291,0.7662831188418229,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7595863172499572
602306-29-6,0.7461830450603767,0.5488349898653211,0.1744081648486611,0.29181761040313087,0.6934147771405513,0.7385134669658022,0.7043096474587744,0.7944399785948231,0.724705728047462,0.23753963610428558,0.7387852996362315,0.3954979528672524,0.1800723832157398,0.7507807629613479,0.01913170183532267,0.758159536196063,0.03467165378956365,0.36776819401779515,0.7452127716961101,0.09972581740937814
PHA-793887,0.796231223955589,0.7755342974907172,0.7508161947972717,0.7434385022069455,0.690287256412306,0.7377610814877665,0.7075419054108231,0.7797502689375457,0.7229409732843463,0.7525842461584611,0.7293812687530185,0.7587674187141764,0.736218158704517,0.7493137420526083,0.726459332904291,0.7548069141697886,0.33902366126968114,0.7584872841927705,0.8058257593743045,0.7397126246788673
RONICICLIB,0.796231223955589,0.7755342974907172,0.7508161947972717,0.7434385022069455,0.690287256412306,0.7377610814877665,0.7075419054108231,0.7797502689375457,0.7229409732843463,0.7525842461584611,0.7293812687530185,0.7587674187141764,0.736218158704517,0.7493137420526083,0.726459332904291,0.7548069141697886,0.33902366126968114,0.7584872841927705,0.8058257593743045,0.7397126246788673
AT7519,0.796231223955589,0.7755342974907172,0.7508161947972717,0.7434385022069455,0.690287256412306,0.7377610814877665,0.7075419054108231,0.7797502689375457,0.7229409732843463,0.7525842461584611,0.7293812687530185,0.7587674187141764,0.736218158704517,0.7493137420526083,0.726459332904291,0.7548069141697886,0.33902366126968114,0.7584872841927705,0.8058257593743045,0.7397126246788673
MARIMASTAT,0.7461830450603767,0.7628624977088094,0.7739984755629268,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.7186186385742863,0.7752086966564569,0.7181880360665317,0.7712581959130117,0.7331003559790024,0.7322375966862833,0.7267374705231325,0.7741962359718223,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7549402823084009
ESTAZOLAM,0.7461830450603767,0.8628757600955397,0.7469713544797733,0.7402430531044689,0.6884836266102826,0.7377610814877665,3.568958425509228e-74,0.7388436367846846,0.7834903336678529,0.827862537965526,0.7195196503478019,0.7703125704419755,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7909842412767603
ENFLURANE,0.7461830450603767,0.9345575618262625,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,1.2205552678790503e-107,0.7388436367846846,0.8341116649734426,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.8486838931991908
