Term,p-value,statistics
REACTOME_2_LTR_CIRCLE_FORMATION,0.8682555929013629,0.027514401439900672
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,0.7778699014711208,0.07957815233264529
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.012965705758592282,6.173783131113071
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.41393985052822935,0.6674563406913424
REACTOME_ABC_TRANSPORTER_DISORDERS,0.16520555515585938,1.9259195835180762
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.41506829526367506,0.664236432764581
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.3932986348008516,0.7287192803666731
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.27433533727123094,1.1949401119966878
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.0026495828597677237,9.034315227769735
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.0046000926545206895,8.030311542112491
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.37017426263049724,0.8030794295089749
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.012616283497642447,6.222135732336725
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,0.007068240669349449,7.255545267742883
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.5438895343695435,0.36837835276736575
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.004300771272251078,8.152252306552832
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.38651847318824506,0.7498665876739785
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.9251713874645697,0.008821278272673351
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,0.7457103743044899,0.10517095727522481
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.9109065146844252,0.012520532357706574
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,0.09660751033469753,2.760674299398329
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.754313256783313,0.09794214523286039
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.005641508344814075,7.66138811540456
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.030220111621459232,4.696727165330701
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.701570615347737,0.14684313176378608
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_,0.4879610401021851,0.4810191627774665
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.8072302857281435,0.05953633659238962
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.1304704487403468,2.2868980029311707
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_,0.21447491027611942,1.5409603856956826
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.6562445342773153,0.1981176496592387
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.03138514364515175,4.6317714104566114
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.14645302862561346,2.1088114314916555
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,0.48374464849829935,0.49040959923695
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,9.18085316355532e-05,15.29810568052936
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.08351262858443656,2.9951800572829286
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.7370313182090411,0.11275306596952996
REACTOME_ACTIVATION_OF_RAC1,0.05573878973649356,3.6598458514520313
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,0.17703258506622993,1.8223602613737988
REACTOME_ACTIVATION_OF_SMO,0.020383589625551764,5.3787404068357825
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.13214969434437518,2.267068114440265
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.7726873741236904,0.08344096072274895
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0.1936126951600109,1.6899110499439438
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.44532486571558627,0.582523551847562
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.7065471119180997,0.1417503288031449
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,0.001011074056225096,10.807176155456226
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,0.011848462124140844,6.333405003585763
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.05526840835231218,3.673969514188064
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.9953661036390375,3.3730081668257407e-05
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.02663090994339408,4.914581768826718
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.2823853929515877,1.1555737877040624
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.3196194683428894,0.9905029984826694
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.8858391413345533,0.020612668648136396
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0.00019090490384068783,13.918551598630714
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.01427021422251811,6.00440391928934
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.07136982655034939,3.2512312671584165
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.1417833814173756,2.1584962881411967
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.38932806195286207,0.7410395956772481
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.1876055332312418,1.7363219685149487
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.055807732172381816,3.657786413816128
REACTOME_ADRENOCEPTORS,0.5191998187434923,0.41548254181986466
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.5832087698173065,0.30107580919668464
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.6914267469405626,0.15754517240376364
REACTOME_AGGREPHAGY,0.002069288532176664,9.487035966861148
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,0.7000164679873648,0.14845473100260168
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,0.25850827860459136,1.2767280926969244
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.28875228577344436,1.1254297471256447
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.26787724553053216,1.227584831305107
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.408456715766785,0.6832882669968902
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0.006101513976080622,7.52007499947823
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.17871077218503506,1.8083126817882467
REACTOME_AMINO_ACID_CONJUGATION,0.8191040795131888,0.05230252208498843
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.30880813095343723,1.0357664538509697
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,0.415285828883424,0.663617210894704
REACTOME_AMYLOID_FIBER_FORMATION,0.32841366511197223,0.9551428879247862
REACTOME_ANCHORING_FIBRIL_FORMATION,0.8931574707182388,0.01803916771441959
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.49473601264596845,0.46620982652196236
REACTOME_ANDROGEN_BIOSYNTHESIS,0.7167575835138147,0.1316206429629337
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.7124435836580093,0.13584846905899697
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.5615507337208475,0.3370263243651164
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.6643570107336672,0.18827404855158122
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.9700774197906701,0.0014070892158861011
REACTOME_ANTIMICROBIAL_PEPTIDES,0.39714122621483827,0.7169650789772103
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.743760366675883,0.1068490493814015
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.8131314410006104,0.05587938768193603
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.5216499284403605,0.41062997417907704
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.7018467064315637,0.146557889625712
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.17949140344518782,1.801830088746366
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.25126504932511806,1.3162562180667585
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.7769636084475067,0.08024652276635617
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.6188972838875393,0.24742047730950698
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.24681264339868764,1.3412557054305
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.6820034020303746,0.16787936382892552
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.5651482490780193,0.330868298768268
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.7553719184488511,0.09707210857597588
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.01178479195978476,6.342962118543486
REACTOME_ARACHIDONIC_ACID_METABOLISM,0.42168850154974935,0.6456047268376124
REACTOME_ARMS_MEDIATED_ACTIVATION,0.006167361260743067,7.500740999474764
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,0.8097544925356394,0.05795707848483575
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.0016573036247875639,9.894978774373616
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.26161573707859503,1.2601867882867184
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,0.01679748395537695,5.717410733549651
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,0.28101078150391856,1.1621949999993457
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.7350220288938969,0.11455026340216484
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.11090426823453386,2.541288224308516
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0.08415221320795693,2.9828261730415453
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,0.7979987919429361,0.06550420672588618
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.7814263492932387,0.07698446112290067
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.07467236664000315,3.177204826938985
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.19619957018646145,1.670440300783233
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0.7155180035530833,0.13282770833883628
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,0.9875334044400631,0.00024414675763266786
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,0.05849110679856808,3.5796604217339665
REACTOME_ATTENUATION_PHASE,0.9918912178692124,0.00010328710214770439
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0.2023129024711386,1.6255986285801678
REACTOME_AURKA_ACTIVATION_BY_TPX2,0.3063068545206588,1.046533289632636
REACTOME_AUTOPHAGY,0.08394961598570584,2.986728425873582
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.34256878549851516,0.9007944265254719
REACTOME_BASE_EXCISION_REPAIR,0.35262173475996506,0.8640000032199421
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,0.10924003804777656,2.5651812298144034
REACTOME_BASIGIN_INTERACTIONS,0.8740745579415992,0.025117528054892712
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,0.07226113369785722,3.2308962006451405
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,0.10948408919124952,2.5616524937803327
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,0.7717094195274196,0.08418100430402561
REACTOME_BETA_DEFENSINS,0.476727448129561,0.5063402315032961
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,0.992772305897548,8.205995673282643e-05
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,0.04012639677827856,4.21253209490363
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,0.8683563869265138,0.02747192900825972
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.12708876386876397,2.3277094294289395
REACTOME_BICARBONATE_TRANSPORTERS,0.6836423320376508,0.16605454312729806
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.6569023514953538,0.19730828299737183
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.9609203482364804,0.0024008705985445605
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS,0.5243635844173233,0.40530224171536733
REACTOME_BIOLOGICAL_OXIDATIONS,0.2819019708312673,1.157897676703064
REACTOME_BIOSYNTHESIS_OF_MARESINS,0.022513053670423076,5.2056918459352906
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS_,0.050517997104911234,3.824182129679051
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0.0021782847979417513,9.39289064340274
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0.3679223394324892,0.8106696604489761
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,0.5117101120062237,0.43056852803719015
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,0.40914309452961894,0.6812893496344656
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.8366636754035451,0.04250313680111243
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,0.20071067979665083,1.6371955841143453
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,0.9142405422457779,0.011597423894940688
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,0.12865519313691964,2.308656679586767
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,0.2631029704054951,1.2523560014981674
