,source,target,value
0,0,34,8
1,0,24,7
2,0,17,7
3,0,23,3
4,0,39,1
5,0,30,2
6,0,37,6
7,0,19,3
8,0,25,12
9,0,20,4
10,0,38,7
11,0,26,4
12,0,32,110
13,0,21,9
14,0,28,5
15,0,22,7
16,0,35,12
0,1,37,4
1,1,23,2
2,1,19,2
3,1,32,86
4,1,18,1
5,1,35,10
6,1,24,6
7,1,17,7
8,1,20,3
9,1,28,3
10,1,21,6
11,1,22,4
12,1,26,3
13,1,30,2
14,1,25,11
15,1,38,6
16,1,34,4
0,2,20,4
1,2,38,12
2,2,26,3
3,2,32,104
4,2,21,8
5,2,23,3
6,2,36,2
7,2,28,5
8,2,22,5
9,2,24,8
10,2,35,13
11,2,34,4
12,2,17,8
13,2,19,3
14,2,30,2
15,2,37,6
16,2,25,14
0,3,25,10
1,3,26,1
2,3,38,5
3,3,27,1
4,3,28,2
5,3,30,2
6,3,17,5
7,3,22,2
8,3,24,4
9,3,23,1
10,3,19,2
11,3,21,8
12,3,37,6
13,3,34,5
14,3,20,2
15,3,35,12
16,3,32,92
0,4,35,8
1,4,23,3
2,4,17,8
3,4,20,6
4,4,38,10
5,4,28,3
6,4,26,2
7,4,22,6
8,4,27,1
9,4,30,2
10,4,25,14
11,4,24,7
12,4,19,2
13,4,34,4
14,4,21,6
15,4,37,6
16,4,36,2
17,4,32,96
0,5,22,3
1,5,28,14
2,5,33,1
3,5,21,8
4,5,37,5
5,5,34,12
6,5,35,11
7,5,19,3
8,5,32,103
9,5,26,7
10,5,30,2
11,5,38,23
12,5,23,1
13,5,20,4
14,5,24,8
15,5,25,9
16,5,17,8
0,6,19,4
1,6,32,89
2,6,28,4
3,6,30,2
4,6,26,5
5,6,24,7
6,6,38,10
7,6,20,5
8,6,37,6
9,6,17,8
10,6,39,1
11,6,25,13
12,6,36,2
13,6,22,4
14,6,34,5
15,6,21,8
16,6,35,10
17,6,23,3
0,7,25,6
1,7,32,81
2,7,35,16
3,7,22,4
4,7,21,5
5,7,20,2
6,7,23,2
7,7,26,1
8,7,28,5
9,7,30,2
10,7,19,1
11,7,17,6
12,7,37,4
13,7,34,3
14,7,38,5
15,7,24,4
0,8,28,3
1,8,35,9
2,8,30,2
3,8,20,5
4,8,23,1
5,8,36,2
6,8,17,7
7,8,34,3
8,8,21,7
9,8,37,5
10,8,25,10
11,8,19,3
12,8,26,3
13,8,38,11
14,8,24,6
15,8,32,101
16,8,22,3
0,9,18,2
1,9,28,5
2,9,22,9
3,9,35,9
4,9,34,8
5,9,23,3
6,9,17,9
7,9,21,9
8,9,20,3
9,9,19,7
10,9,30,1
11,9,37,6
12,9,25,13
13,9,24,8
14,9,38,9
15,9,26,2
16,9,32,104
0,10,19,3
1,10,34,5
2,10,38,8
3,10,22,4
4,10,21,6
5,10,20,4
6,10,28,3
7,10,30,1
8,10,37,5
9,10,25,11
10,10,26,2
11,10,32,79
12,10,24,8
13,10,35,12
14,10,23,1
15,10,17,6
0,11,38,6
1,11,23,3
2,11,32,78
3,11,20,4
4,11,34,5
5,11,17,7
6,11,36,2
7,11,30,2
8,11,37,6
9,11,25,11
10,11,21,7
11,11,28,4
12,11,19,3
13,11,24,7
14,11,35,11
15,11,22,6
16,11,26,4
17,11,39,1
0,12,35,9
1,12,38,2
2,12,37,5
3,12,34,5
4,12,26,1
5,12,28,3
6,12,24,3
7,12,25,10
8,12,32,92
9,12,23,2
10,12,21,6
11,12,17,6
12,12,19,3
13,12,30,2
14,12,22,5
15,12,20,4
0,13,18,1
1,13,19,4
2,13,22,8
3,13,21,8
4,13,20,5
5,13,28,4
6,13,30,1
7,13,37,7
8,13,25,15
9,13,26,4
10,13,32,102
11,13,34,5
12,13,24,7
13,13,35,9
14,13,23,5
15,13,17,8
16,13,38,9
0,14,34,5
1,14,19,2
2,14,17,6
3,14,27,2
4,14,30,3
5,14,37,6
6,14,24,6
7,14,25,12
8,14,20,5
9,14,23,2
10,14,26,1
11,14,32,94
12,14,21,7
13,14,36,2
14,14,28,2
15,14,22,4
16,14,38,7
17,14,35,9
0,15,32,109
1,15,28,5
2,15,30,2
3,15,26,5
4,15,24,7
5,15,38,9
6,15,20,3
7,15,37,7
8,15,17,7
9,15,39,1
10,15,25,13
11,15,22,5
12,15,34,6
13,15,21,8
14,15,35,11
15,15,19,4
16,15,23,3
0,16,21,5
1,16,34,3
2,16,28,2
3,16,24,6
4,16,23,1
5,16,32,100
6,16,25,11
7,16,17,6
8,16,22,5
9,16,19,3
10,16,30,2
11,16,26,4
12,16,20,4
13,16,35,10
14,16,37,6
15,16,38,6
