,source,target,value
0,0,33,8
1,0,24,4
2,0,17,5
3,0,37,7
4,0,21,1
5,0,36,4
6,0,19,3
7,0,25,8
8,0,20,6
9,0,23,3
10,0,26,4
11,0,30,6
12,0,28,5
13,0,22,5
14,0,34,11
0,1,36,3
1,1,28,3
2,1,18,1
3,1,19,3
4,1,34,9
5,1,24,4
6,1,17,4
7,1,20,3
8,1,37,4
9,1,30,3
10,1,22,3
11,1,26,3
12,1,21,2
13,1,25,8
14,1,23,2
15,1,33,4
0,2,20,4
1,2,23,3
2,2,26,3
3,2,30,3
4,2,37,10
5,2,28,5
6,2,22,4
7,2,24,4
8,2,34,14
9,2,19,5
10,2,17,5
11,2,33,4
12,2,21,2
13,2,36,4
14,2,25,9
0,3,25,5
1,3,26,1
2,3,37,4
3,3,28,2
4,3,21,2
5,3,17,3
6,3,22,2
7,3,23,2
8,3,19,4
9,3,30,4
10,3,36,2
11,3,33,5
12,3,24,2
13,3,34,12
14,3,20,2
0,4,34,10
1,4,23,5
2,4,17,5
3,4,20,4
4,4,37,8
5,4,28,3
6,4,26,2
7,4,22,6
8,4,21,1
9,4,25,9
10,4,24,5
11,4,33,4
12,4,30,3
13,4,36,5
14,4,19,3
0,5,22,3
1,5,37,20
2,5,31,1
3,5,36,3
4,5,33,10
5,5,34,10
6,5,19,4
7,5,30,2
8,5,26,6
9,5,21,2
10,5,28,13
11,5,23,1
12,5,20,4
13,5,24,5
14,5,25,7
15,5,17,4
0,6,20,5
1,6,28,4
2,6,21,2
3,6,26,5
4,6,24,5
5,6,37,9
6,6,35,2
7,6,36,4
8,6,17,5
9,6,19,5
10,6,25,8
11,6,22,4
12,6,33,5
13,6,30,3
14,6,34,13
15,6,23,4
0,7,34,14
1,7,25,4
2,7,18,1
3,7,30,2
4,7,20,2
5,7,23,1
6,7,26,1
7,7,28,5
8,7,37,3
9,7,21,2
10,7,19,2
11,7,17,3
12,7,36,2
13,7,33,3
14,7,22,2
15,7,24,2
0,8,22,3
1,8,34,7
2,8,21,2
3,8,20,4
4,8,23,1
5,8,17,4
6,8,28,2
7,8,33,3
8,8,30,3
9,8,36,3
10,8,25,7
11,8,19,3
12,8,26,3
13,8,37,4
14,8,24,4
0,9,18,1
1,9,28,5
2,9,22,9
3,9,34,9
4,9,33,8
5,9,23,4
6,9,17,5
7,9,30,4
8,9,20,3
9,9,19,7
10,9,21,1
11,9,36,3
12,9,25,8
13,9,24,5
14,9,37,8
15,9,26,2
0,10,24,5
1,10,37,7
2,10,22,3
3,10,30,4
4,10,20,4
5,10,28,3
6,10,21,1
7,10,36,3
8,10,33,5
9,10,25,8
10,10,26,2
11,10,19,5
12,10,34,11
13,10,23,1
14,10,17,4
0,11,37,8
1,11,23,3
2,11,20,4
3,11,33,5
4,11,21,2
5,11,36,5
6,11,25,8
7,11,17,5
8,11,28,4
9,11,19,4
10,11,24,5
11,11,34,13
12,11,22,4
13,11,26,4
14,11,30,3
0,12,34,12
1,12,37,1
2,12,36,3
3,12,33,5
4,12,26,2
5,12,28,3
6,12,24,2
7,12,25,6
8,12,20,3
9,12,23,2
10,12,30,3
11,12,17,3
12,12,19,3
13,12,21,2
14,12,22,2
0,13,24,4
1,13,37,5
2,13,22,4
3,13,30,4
4,13,20,4
5,13,28,3
6,13,21,1
7,13,36,4
8,13,33,4
9,13,25,7
10,13,26,2
11,13,19,4
12,13,34,9
13,13,23,4
14,13,17,4
0,14,19,4
1,14,24,3
2,14,17,3
3,14,33,5
4,14,23,4
5,14,21,2
6,14,36,4
7,14,25,8
8,14,20,3
9,14,37,5
10,14,26,1
11,14,30,4
12,14,28,2
13,14,22,3
14,14,34,10
0,15,20,3
1,15,28,5
2,15,21,1
3,15,26,5
4,15,24,4
5,15,37,7
6,15,36,4
7,15,17,5
8,15,19,4
9,15,25,8
10,15,22,4
11,15,33,5
12,15,30,4
13,15,34,9
14,15,23,3
0,16,30,2
1,16,33,3
2,16,28,2
3,16,24,4
4,16,23,2
5,16,34,11
6,16,17,4
7,16,22,3
8,16,21,2
9,16,26,4
10,16,20,3
11,16,25,7
12,16,36,3
13,16,19,4
14,16,37,4
