drug	repurpose	origin	min_check
IRINOTECAN	BLCA	Oncology	0
ETHANOL	BLCA	Neurology	0
MIDOSTAURIN	BLCA	Oncology	0
CARBOPLATIN	BLCA	Oncology	0
RETINOIC ACID	BLCA	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	BLCA	Oncology	0
CYTARABINE	BLCA	Oncology	0
STREPTOZOCIN	BLCA	Oncology	0
IDELALISIB	BLCA	Oncology	0
COPANLISIB	BLCA	Oncology	0
RAPAMYCIN	BLCA	Immunology/Infectious disease | Nephrology/Urology	0
EVEROLIMUS	BLCA	Immunology/Infectious disease | Nephrology/Urology | Oncology	0
TEMSIROLIMUS	BLCA	Oncology	0
METFORMIN	BLCA	Endocrinology	0
PAZOPANIB	BLCA	Oncology	0
5-FLUOROURACIL	BLCA	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	BLCA	Oncology	0
OXALIPLATIN	BLCA	Oncology	0
VINORELBINE	BLCA	Oncology	0
PACLITAXEL	BLCA	Oncology	0
CYCLOPHOSPHAMIDE	BLCA	Oncology | Nephrology/Urology	0
DOCETAXEL	BLCA	Oncology	0
BEVACIZUMAB	BLCA	Oncology	0
GEMCITABINE	BLCA	Oncology	0
PEMETREXED	BLCA	Oncology	0
L-ASCORBIC ACID	BLCA	Nutraceutical	0
LITHIUM	BLCA	Psychiatry/Psychology	0
CELECOXIB	BLCA	Pain management	0
DASATINIB	BLCA	Oncology	0
REGORAFENIB	BLCA	Oncology	0
VANDETANIB	BLCA	Oncology	0
DOXORUBICIN	BLCA	Oncology	0
BROMOCRIPTINE	BLCA	Endocrinology | Neurology	0
INDOMETHACIN	BLCA	Pain management | Musculoskeletal	0
PALIFERMIN	BLCA	Dental/Maxillofacial surgery	0
CYCLOSPORIN A	BLCA	Immunology/Infectious disease | Ophthalmology	0
CETUXIMAB	BLCA	Oncology	0
TRASTUZUMAB	BLCA	Oncology	0
RITUXIMAB	BLCA	Oncology	0
HALOPERIDOL	BLCA	Psychiatry/Psychology	0
PROGESTERONE	BLCA	Endocrinology | Obstetrics/Gynecology	0
NINTEDANIB	BLCA	Pulmonary/Respiratory disease	0
PONATINIB	BLCA	Oncology	0
ACALABRUTINIB	BLCA	Oncology	0
IBRUTINIB	BLCA	Oncology	0
PAZOPANIB HYDROCHLORIDE	BLCA	Oncology	0
VORINOSTAT	BLCA	Oncology	0
BELINOSTAT	BLCA	Oncology	0
PANOBINOSTAT	BLCA	Oncology	0
ROMIDEPSIN	BLCA	Oncology	0
VALPROIC ACID	BLCA	Neurology | Psychiatry/Psychology	0
SODIUM 4-PHENYLBUTYRATE	BLCA	Hematology	0
IXAZOMIB CITRATE	BLCA	Oncology	1
BORTEZOMIB	BLCA	Oncology	0
FILGRASTIM	BLCA	Hematology | Oncology	0
ROSIGLITAZONE	BLCA	Endocrinology	0
ERLOTINIB HYDROCHLORIDE	BLCA	Oncology	0
ACETAMINOPHEN	BLCA	Pain management	0
ETODOLAC	BLCA	Pain management	0
PROPYLTHIOURACIL	BLCA	Endocrinology	0
VINBLASTINE	BLCA	Oncology	0
ARSENIC TRIOXIDE	BLCA	Oncology	0
DEXAMETHASONE	BLCA	Ophthalmology	0
MITOMYCIN C	BLCA	Oncology	0
CAPECITABINE	BLCA	Oncology	0
CHLORAMBUCIL	BLCA	Oncology	0
NITROGLYCERIN	BLCA	Cardiology/Vascular disease | Gastroenterology	0
RIBOCICLIB	BLCA	Oncology	0
TRAMETINIB	BLCA	Oncology	0
COBIMETINIB	BLCA	Oncology	0
PANITUMUMAB	BLCA	Oncology	0
SORAFENIB	BLCA	Oncology	0
VEMURAFENIB	BLCA	Oncology	0
LENVATINIB	BLCA	Oncology	0
PALBOCICLIB	BLCA	Oncology	0
AZD-9291	BLCA	Oncology	0
GEFITINIB	BLCA	Oncology	0
DABRAFENIB	BLCA	Oncology	0
AFATINIB	BLCA	Oncology	0
ABEMACICLIB	BLCA	Oncology	0
RALOXIFENE	BLCA	Musculoskeletal | Oncology	0
TARENFLURBIL	BLCA	Pain management | Musculoskeletal	0
ABT-199	BLCA	Oncology	0
HYDROCORTISONE	BLCA	Dermatology/Plastic surgery	0
SIMVASTATIN	BLCA	Hematology	0
NICOTINE	BLCA	Psychiatry/Psychology	0
METHIMAZOLE	BLCA	Endocrinology	0
PREDNISOLONE	BLCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
TAMOXIFEN	BLCA	Oncology	0
EXEMESTANE	BLCA	Oncology	0
IMATINIB	BLCA	Oncology	0
CRIZOTINIB	BLCA	Oncology	0
DEHYDROEPIANDROSTERONE	BLCA	Obstetrics/Gynecology	0
DIMETHYL SULFOXIDE	BLCA	Pain management | Nephrology/Urology	0
NILOTINIB	BLCA	Oncology	0
ERLOTINIB	BLCA	Oncology	0
ADAPALENE	BLCA	Dermatology/Plastic surgery	0
BEXAROTENE	BLCA	Oncology	0
ACITRETIN	BLCA	Dermatology/Plastic surgery	0
ALITRETINOIN	BLCA	Immunology/Infectious disease | Oncology	0
URSODEOXYCHOLIC ACID	BLCA	Gastroenterology	0
LENALIDOMIDE	BLCA	Oncology	0
