drug	repurpose	origin	min_check
PROPYLTHIOURACIL	BLCA	Endocrinology	0
L-ASCORBIC ACID	BLCA	Nutraceutical	0
PIOGLITAZONE HYDROCHLORIDE	BLCA	Endocrinology	0
INDOMETHACIN	BLCA	Pain management | Musculoskeletal	0
METHYLPREDNISOLONE	BLCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	BLCA	Cardiology/Vascular disease	0
CELECOXIB	BLCA	Pain management	0
NINTEDANIB	BLCA	Pulmonary/Respiratory disease	0
ACITRETIN	BLCA	Dermatology/Plastic surgery	0
NINTEDANIB ESYLATE	BLCA	Pulmonary/Respiratory disease	0
BROMOCRIPTINE	BLCA	Endocrinology | Neurology	0
DIMETHYL FUMARATE	BLCA	Neurology	0
CAPSAICIN	BLCA	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	BLCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
HYDROCORTISONE	BLCA	Dermatology/Plastic surgery	0
ROSIGLITAZONE MALEATE	BLCA	Endocrinology	0
SULINDAC	BLCA	Pain management | Musculoskeletal	0
DIMETHYL SULFOXIDE	BLCA	Pain management | Nephrology/Urology	0
NITROGLYCERIN	BLCA	Cardiology/Vascular disease | Gastroenterology	0
ZINC CHLORIDE	BLCA	Nutraceutical	0
METFORMIN	BLCA	Endocrinology	0
URSODEOXYCHOLIC ACID	BLCA	Gastroenterology	0
NICOTINE	BLCA	Psychiatry/Psychology	0
METHIMAZOLE	BLCA	Endocrinology	0
ATOVAQUONE	BLCA	Immunology/Infectious disease	0
MILTEFOSINE	BLCA	Immunology/Infectious disease	0
INSULIN HUMAN	BLCA	Endocrinology	0
DECITABINE	BLCA	Hematology	0
ACETAMINOPHEN	BLCA	Pain management	0
BALSALAZIDE	BLCA	Gastroenterology	0
GANCICLOVIR	BLCA	Immunology/Infectious disease	0
VITAMIN E	BLCA	Nutraceutical	0
TRIFLURIDINE	BLCA	Immunology/Infectious disease | Ophthalmology	0
UREA	BLCA	Dermatology/Plastic surgery	0
TRIFLUOPERAZINE	BLCA	Psychiatry/Psychology	0
ROSIGLITAZONE	BLCA	Endocrinology	0
HALOPERIDOL	BLCA	Psychiatry/Psychology	0
ADAPALENE	BLCA	Dermatology/Plastic surgery	0
DEHYDROEPIANDROSTERONE	BLCA	Obstetrics/Gynecology	0
TARENFLURBIL	BLCA	Pain management | Musculoskeletal	0
OLSALAZINE SODIUM	BLCA	Gastroenterology	0
PRAMLINTIDE	BLCA	Endocrinology	0
VALPROIC ACID	BLCA	Neurology | Psychiatry/Psychology	0
DEXAMETHASONE	BLCA	Ophthalmology	0
RAPAMYCIN	BLCA	Immunology/Infectious disease | Nephrology/Urology	0
ETODOLAC	BLCA	Pain management	0
TELMISARTAN	BLCA	Cardiology/Vascular disease	0
SIMVASTATIN	BLCA	Hematology	0
LITHIUM	BLCA	Psychiatry/Psychology	0
TERIFLUNOMIDE	BLCA	Neurology	0
SODIUM 4-PHENYLBUTYRATE	BLCA	Hematology	0
PROPYLTHIOURACIL	BRCA	Endocrinology	0
QUINAPRIL	BRCA	Cardiology/Vascular disease	0
NELFINAVIR	BRCA	Immunology/Infectious disease	0
METHYLPREDNISOLONE	BRCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	BRCA	Cardiology/Vascular disease	0
CELECOXIB	BRCA	Pain management	0
